organisation,launch_location,mission_details,mission_status,date
RVSN USSR,Russia,Soyuz U | Cosmos 1906,Success,26/12/1987
RVSN USSR,Kazakhstan,Soyuz U | Cosmos 1905,Success,25/12/1987
RVSN USSR,Russia,Cosmos-3M | Cosmos 1904,Success,23/12/1987
RVSN USSR,Russia,Molniya-M /Block 2BL | Cosmos 1903,Success,21/12/1987
RVSN USSR,Kazakhstan,Soyuz U2 | Soyuz TM-4,Success,21/12/1987
RVSN USSR,Russia,K65M-RB5 | BOR-4 n°407,Success,20/12/1987
RVSN USSR,Russia,Cosmos-3M | Cosmos 1902,Success,15/12/1987
RVSN USSR,Kazakhstan,Soyuz U | Cosmos 1901,Success,14/12/1987
RVSN USSR,Kazakhstan,Tsyklon-2 | Cosmos 1900,Success,12/12/1987
RVSN USSR,Kazakhstan,Proton K/Block-DM-2 | Raduga 21,Success,10/12/1987
RVSN USSR,Kazakhstan,Soyuz U | Cosmos 1899,Success,07/12/1987
RVSN USSR,Russia,Cosmos-3M | Cosmos 1898,Success,01/12/1987
Martin Marietta,USA,Titan 34D | DSP-13 (USA-28),Success,29/11/1987
RVSN USSR,Kazakhstan,Proton K/Block-DM-2 | Cosmos 1897,Success,26/11/1987
Arianespace,France,Ariane 2 | TVSAT-1,Success,21/11/1987
RVSN USSR,Kazakhstan,Soyuz U2 | Progress 33,Success,20/11/1987
RVSN USSR,Kazakhstan,Soyuz U | Cosmos 1896,Success,14/11/1987
RVSN USSR,Kazakhstan,Soyuz U | Cosmos 1895,Success,11/11/1987
RVSN USSR,Kazakhstan,Proton K/Block-DM-2 | Cosmos 1894,Success,28/10/1987
Martin Marietta,USA,Titan 34D | KH-11 8 (USA-27),Success,26/10/1987
RVSN USSR,Russia,Soyuz U | Cosmos 1893,Success,22/10/1987
RVSN USSR,Russia,Tsyklon-3 | Cosmos 1892,Success,20/10/1987
RVSN USSR,Russia,Cosmos-3M | Cosmos 1891,Success,14/10/1987
RVSN USSR,Kazakhstan,Tsyklon-2 | Cosmos 1890,Success,10/10/1987
RVSN USSR,Kazakhstan,Soyuz U | Cosmos 1889,Success,09/10/1987
RVSN USSR,Kazakhstan,Proton K/Block-DM-2 | Cosmos 1888,Success,01/10/1987
RVSN USSR,Russia,Soyuz U | Cosmos 1887,Success,29/09/1987
RVSN USSR,Kazakhstan,Soyuz U2 | Progress 32,Success,23/09/1987
RVSN USSR,Russia,Soyuz U | Cosmos 1886,Success,17/09/1987
US Air Force,USA,Scout G1 | Transit-O 27 & 29,Success,16/09/1987
RVSN USSR,Kazakhstan,"Proton K/Block-DM-2 | Cosmos 1883, 1884 & 1885",Success,16/09/1987
Arianespace,France,"Ariane 3 | Aussat-A3, Eutelsat 1-F4",Success,16/09/1987
RVSN USSR,Russia,Soyuz U | Cosmos 1882,Success,15/09/1987
RVSN USSR,Kazakhstan,Soyuz U | Cosmos 1881,Success,11/09/1987
CASC,China,Long March 2C | FSW-1 1,Success,09/09/1987
RVSN USSR,Russia,Tsyklon-3 | Cosmos 1875 to 1880,Success,07/09/1987
RVSN USSR,Kazakhstan,Proton-K/Block-DM | Ekran 16,Success,03/09/1987
RVSN USSR,Russia,Soyuz U | Cosmos 1874,Success,03/09/1987
RVSN USSR,Kazakhstan,Zenit-2 | Cosmos 1873,Success,28/08/1987
RVSN USSR,Russia,K65M-RB5 | BOR-5 n°504,Success,27/08/1987
MHI,Japan,H-I UM-129A (9SO) | Kiku 5,Success,27/08/1987
RVSN USSR,Russia,Soyuz U | Cosmos 1872,Success,19/08/1987
RVSN USSR,Russia,Tsyklon-3 | Meteor-2 n°16,Success,18/08/1987
CASC,China,Long March 2C | FSW-0 9,Success,05/08/1987
RVSN USSR,Kazakhstan,Soyuz U2 | Progress 31,Success,03/08/1987
RVSN USSR,Kazakhstan,Zenit-2 | Cosmos 1871,Success,01/08/1987
RVSN USSR,Kazakhstan,Proton-K | Cosmos 1870,Success,25/07/1987
RVSN USSR,Kazakhstan,Soyuz U2 | Soyuz TM-3,Success,22/07/1987
RVSN USSR,Russia,Tsyklon-3 | Cosmos 1869,Success,16/07/1987
RVSN USSR,Russia,Cosmos-3M | Cosmos 1868,Success,14/07/1987
RVSN USSR,Kazakhstan,Tsyklon-2 | Cosmos 1867,Success,10/07/1987
RVSN USSR,Russia,Soyuz U | Cosmos 1866,Success,09/07/1987
RVSN USSR,Kazakhstan,Soyuz U | Cosmos 1865,Success,08/07/1987
RVSN USSR,Russia,Cosmos-3M | Cosmos 1864,Success,06/07/1987
RVSN USSR,Russia,Soyuz U | Cosmos 1863,Success,04/07/1987
RVSN USSR,Russia,Tsyklon-3 | Cosmos 1862,Success,01/07/1987
RVSN USSR,Russia,Cosmos-3M | Cosmos 1861,Success,23/06/1987
General Dynamics,USA,Atlas-E/F Star-37S-ISS | DMSP 5D-2/F8 (USA-26),Success,20/06/1987
RVSN USSR,Kazakhstan,Tsyklon-2 | Cosmos 1860,Success,18/06/1987
RVSN USSR,Russia,Soyuz U | Resurs-F1 n°33,Failure,18/06/1987
RVSN USSR,Russia,Cosmos-3M | Cosmos 1852 to 1859,Success,16/06/1987
RVSN USSR,Russia,Molniya-M /Block 2BL | Cosmos 1851,Success,12/06/1987
RVSN USSR,Russia,Cosmos-3M | Cosmos 1850,Success,09/06/1987
RVSN USSR,Russia,Molniya-M /Block 2BL | Cosmos 1849,Success,04/06/1987
RVSN USSR,Russia,Soyuz U | Cosmos 1848,Success,28/05/1987
RVSN USSR,Russia,Soyuz U | Cosmos 1847,Success,26/05/1987
RVSN USSR,Russia,Soyuz U | Cosmos 1846,Success,21/05/1987
RVSN USSR,Kazakhstan,Soyuz U2 | Progress 30,Success,19/05/1987
RVSN USSR,Kazakhstan,Energiya/Polyus | Polyus,Success,15/05/1987
General Dynamics,USA,"Atlas-H MSD | NOSS-9A to 9C, MSD 9 & LIPS 3 (USA-22 to USA-25)",Success,15/05/1987
RVSN USSR,Kazakhstan,Soyuz U | Cosmos 1845,Success,13/05/1987
RVSN USSR,Kazakhstan,Zenit-2 | Cosmos 1844,Success,13/05/1987
RVSN USSR,Kazakhstan,Proton-K/Block-DM | Gorizont 14,Success,11/05/1987
RVSN USSR,Kazakhstan,Soyuz U | Cosmos 1843,Success,05/05/1987
RVSN USSR,Russia,Tsyklon-3 | Cosmos 1842,Success,27/04/1987
RVSN USSR,Russia,Soyuz U | Cosmos 1841,Success,24/04/1987
RVSN USSR,Kazakhstan,"Proton K/Block-DM-2 | Cosmos 1838, 1839 & 1840",Failure,24/04/1987
RVSN USSR,Russia,Soyuz U | Cosmos 1837,Success,22/04/1987
RVSN USSR,Kazakhstan,Soyuz U2 | Progress 29,Success,21/04/1987
RVSN USSR,Kazakhstan,Soyuz U | Cosmos 1836,Success,16/04/1987
RVSN USSR,Kazakhstan,Soyuz U | Cosmos 1835,Success,09/04/1987
RVSN USSR,Kazakhstan,Tsyklon-2 | Cosmos 1834,Success,08/04/1987
RVSN USSR,Kazakhstan,Proton-K | Kvant-1,Success,31/03/1987
General Dynamics,USA,Atlas-G Centaur-D1AR | FLTSATCOM-6,Failure,26/03/1987
ISRO,India,ASLV | SROSS-A,Failure,24/03/1987
US Air Force,USA,Delta 3920 | Palapa B2P,Success,20/03/1987
RVSN USSR,Kazakhstan,Proton-K/Block-DM | Raduga 20,Success,19/03/1987
RVSN USSR,Kazakhstan,Zenit-2 | Cosmos 1833,Success,18/03/1987
RVSN USSR,Russia,Tsyklon-3 | Cosmos 1827 to 1832,Success,13/03/1987
RVSN USSR,Russia,Soyuz U | Cosmos 1826,Success,11/03/1987
RVSN USSR,Russia,Tsyklon-3 | Cosmos 1825,Success,03/03/1987
RVSN USSR,Kazakhstan,Soyuz U2 | Progress 28,Success,03/03/1987
US Air Force,USA,Delta 3914 | GOES-H,Success,26/02/1987
RVSN USSR,Russia,Soyuz U | Cosmos 1824,Success,26/02/1987
RVSN USSR,Russia,Tsyklon-3 | Cosmos 1823,Success,20/02/1987
RVSN USSR,Russia,Soyuz U | Cosmos 1822,Success,19/02/1987
MHI,Japan,N-II | Momo 1a,Success,19/02/1987
RVSN USSR,Russia,Cosmos-3M | Cosmos 1821,Success,18/02/1987
RVSN USSR,Kazakhstan,Zenit-2 | Cosmos 1820,Success,14/02/1987
Martin Marietta,USA,Titan III(34)B Agena-D | Quasar 7 (USA-21),Success,12/02/1987
RVSN USSR,Russia,Soyuz U | Cosmos 1819,Success,07/02/1987
RVSN USSR,Kazakhstan,Soyuz U2 | Soyuz TM-2,Success,05/02/1987
ISAS,Japan,Mu-III S2 | Ginga,Success,05/02/1987
RVSN USSR,Kazakhstan,Tsyklon-2 | Cosmos 1818,Success,01/02/1987
RVSN USSR,Kazakhstan,Proton K/Block-DM-2 | Cosmos 1817,Failure,30/01/1987
RVSN USSR,Russia,Cosmos-3M | Cosmos 1816,Partial Failure,29/01/1987
RVSN USSR,Russia,Molniya-M /Block ML | Molniya-3 n°129,Success,22/01/1987
RVSN USSR,Russia,Cosmos-3M | Cosmos 1815,Success,22/01/1987
RVSN USSR,Russia,Cosmos-3M | Cosmos 1814,Success,21/01/1987
RVSN USSR,Kazakhstan,Soyuz U2 | Progress 27,Success,16/01/1987
RVSN USSR,Russia,Soyuz U | Cosmos 1813,Success,15/01/1987
RVSN USSR,Russia,Tsyklon-3 | Cosmos 1812,Success,14/01/1987
RVSN USSR,Kazakhstan,Soyuz U | Cosmos 1811,Success,09/01/1987
RVSN USSR,Russia,Tsyklon-3 | Meteor-2 n°15,Success,05/01/1987
RVSN USSR,Russia,Molniya-M /Block ML | Molniya-1 n°128,Success,26/12/1986
RVSN USSR,Kazakhstan,Soyuz U | Cosmos 1810,Success,26/12/1986
RVSN USSR,Russia,K65M-RB5 | BOR-5 n°503,Success,25/12/1986
RVSN USSR,Russia,Tsyklon-3 | Cosmos 1809,Success,18/12/1986
RVSN USSR,Russia,Cosmos-3M | Cosmos 1808,Success,17/12/1986
RVSN USSR,Russia,Soyuz U | Cosmos 1807,Success,16/12/1986
RVSN USSR,Russia,Molniya-M /Block 2BL | Cosmos 1806,Success,12/12/1986
RVSN USSR,Russia,Tsyklon-3 | Cosmos 1805,Success,10/12/1986
General Dynamics,USA,Atlas-G Centaur-D1AR | FLTSATCOM-7,Success,05/12/1986
RVSN USSR,Kazakhstan,Soyuz U | Cosmos 1804,Success,04/12/1986
RVSN USSR,Russia,Tsyklon-3 | Cosmos 1803,Success,02/12/1986
RVSN USSR,Kazakhstan,Proton-K | Almaz-T n°1,Failure,29/11/1986
RVSN USSR,Russia,Cosmos-3M | Cosmos 1802,Success,24/11/1986
RVSN USSR,Russia,Cosmos-3M | Cosmos 1794 to 1801,Success,21/11/1986
RVSN USSR,Russia,Molniya-M /Block 2BL | Cosmos 1793,Success,20/11/1986
RVSN USSR,Kazakhstan,Proton-K/Block-DM | Gorizont 13,Success,18/11/1986
RVSN USSR,Russia,Molniya-M /Block ML | Molniya-1 n°127,Success,15/11/1986
US Air Force,USA,Scout G1 | Polar Bear,Success,14/11/1986
RVSN USSR,Kazakhstan,Soyuz U | Cosmos 1792,Success,13/11/1986
RVSN USSR,Russia,Cosmos-3M | Cosmos 1791,Success,13/11/1986
RVSN USSR,Russia,Soyuz U | Cosmos 1790,Success,04/11/1986
RVSN USSR,Russia,Soyuz U | Cosmos 1789,Success,31/10/1986
RVSN USSR,Russia,Cosmos-3M | Cosmos 1788,Success,27/10/1986
RVSN USSR,Kazakhstan,Proton-K/Block-DM | Raduga 19,Success,25/10/1986
RVSN USSR,Kazakhstan,Soyuz U | Cosmos 1787,Success,22/10/1986
RVSN USSR,Kazakhstan,Zenit-2 | Cosmos 1786 & EPN 03.0694 n°3,Partial Failure,22/10/1986
RVSN USSR,Russia,Molniya-M /Block ML | Molniya-3 n°126,Success,20/10/1986
RVSN USSR,Russia,Molniya-M /Block 2BL | Cosmos 1785,Success,15/10/1986
RVSN USSR,Russia,Tsyklon-3 | Strela-3 n°388 to 393,Failure,15/10/1986
RVSN USSR,Kazakhstan,Soyuz U | Cosmos 1784,Success,06/10/1986
CASC,China,Long March 2C | FSW-0 8,Success,06/10/1986
RVSN USSR,Russia,Molniya-M /Block 2BL | Cosmos 1783,Partial Failure,03/10/1986
RVSN USSR,Russia,Tsyklon-3 | Cosmos 1782,Success,30/09/1986
General Dynamics,USA,Atlas-E/F Star-37S-ISS | NOAA-G,Success,17/09/1986
RVSN USSR,Kazakhstan,Soyuz U | Cosmos 1781,Success,17/09/1986
RVSN USSR,Kazakhstan,"Proton K/Block-DM-2 | Cosmos 1778, 1779 & 1780",Success,16/09/1986
RVSN USSR,Russia,Cosmos-3M | Cosmos 1777,Success,10/09/1986
US Air Force,USA,Delta 3920 | Vector Sum Experiment (USA-19),Success,05/09/1986
RVSN USSR,Russia,Molniya-M /Block ML | Molniya-1 n°125,Success,05/09/1986
RVSN USSR,Russia,Cosmos-3M | Cosmos 1776,Success,03/09/1986
RVSN USSR,Kazakhstan,Soyuz U | Cosmos 1775,Success,03/09/1986
RVSN USSR,Russia,Molniya-M /Block 2BL | Cosmos 1774,Success,28/08/1986
RVSN USSR,Kazakhstan,Soyuz U | Cosmos 1773,Success,27/08/1986
RVSN USSR,Russia,Soyuz U | Cosmos 1772,Success,21/08/1986
RVSN USSR,Kazakhstan,Tsyklon-2 | Cosmos 1771,Success,20/08/1986
MHI,Japan,"H-I (9 SO) | Fuji 1a, Jindai & Ajisai",Success,12/08/1986
RVSN USSR,Kazakhstan,Soyuz U | Cosmos 1770,Success,06/08/1986
RVSN USSR,Kazakhstan,Tsyklon-2 | Cosmos 1769,Success,04/08/1986
RVSN USSR,Russia,Soyuz U | Cosmos 1768,Success,02/08/1986
RVSN USSR,Russia,Molniya-M /Block ML | Molniya-1 n°124,Success,30/07/1986
RVSN USSR,Kazakhstan,Zenit-2 | Cosmos 1767,Success,30/07/1986
RVSN USSR,Russia,Tsyklon-3 | Cosmos 1766,Success,28/07/1986
RVSN USSR,Russia,Soyuz U | Cosmos 1765,Success,24/07/1986
RVSN USSR,Kazakhstan,Soyuz U | Cosmos 1764,Success,17/07/1986
RVSN USSR,Russia,Cosmos-3M | Cosmos 1763,Partial Failure,16/07/1986
RVSN USSR,Russia,Soyuz U | Cosmos 1762,Success,10/07/1986
RVSN USSR,Russia,Molniya-M /Block 2BL | Cosmos 1761,Success,05/07/1986
RVSN USSR,Russia,Molniya-M /Block ML | Molniya-3 n°123,Success,19/06/1986
RVSN USSR,Kazakhstan,Soyuz U | Cosmos 1760,Success,19/06/1986
RVSN USSR,Russia,Cosmos-3M | Cosmos 1759,Success,18/06/1986
RVSN USSR,Russia,Tsyklon-3 | Cosmos 1758,Success,12/06/1986
RVSN USSR,Russia,Soyuz U | Cosmos 1757,Success,11/06/1986
RVSN USSR,Kazakhstan,Proton-K/Block-DM | Gorizont 12,Success,10/06/1986
RVSN USSR,Kazakhstan,Soyuz U | Cosmos 1756,Success,06/06/1986
RVSN USSR,Russia,Cosmos-3M | Cosmos 1748 to 1755,Success,06/06/1986
Arianespace,France,Ariane 2 | Intelsat-5A 14,Failure,31/05/1986
RVSN USSR,Kazakhstan,Soyuz U | Cosmos 1747,Success,29/05/1986
RVSN USSR,Russia,Soyuz U | Cosmos 1746,Success,28/05/1986
RVSN USSR,Russia,Tsyklon-3 | Meteor-2 n°14,Success,27/05/1986
RVSN USSR,Kazakhstan,Proton-K/Block-DM | Ekran 15,Success,24/05/1986
RVSN USSR,Russia,Cosmos-3M | Cosmos 1745,Success,23/05/1986
RVSN USSR,Russia,Soyuz U | Cosmos 1744,Success,21/05/1986
RVSN USSR,Kazakhstan,Soyuz U2 | Soyuz TM-1,Success,21/05/1986
RVSN USSR,Russia,Tsyklon-3 | Cosmos 1743,Success,15/05/1986
RVSN USSR,Russia,Soyuz U | Cosmos 1742,Success,14/05/1986
US Air Force,USA,Delta 3914 | GOES-G,Failure,03/05/1986
RVSN USSR,Kazakhstan,Soyuz U2 | Progress 26,Success,23/04/1986
RVSN USSR,Russia,Molniya-M /Block ML | Molniya-3 n°122,Success,18/04/1986
Martin Marietta,USA,Titan 34D | KH9-20,Failure,18/04/1986
RVSN USSR,Russia,Cosmos-3M | Cosmos 1741,Success,17/04/1986
RVSN USSR,Russia,Soyuz U | Cosmos 1740,Success,15/04/1986
RVSN USSR,Kazakhstan,Soyuz U | Cosmos 1739,Success,09/04/1986
RVSN USSR,Kazakhstan,Proton-K/Block-DM | Cosmos 1738,Success,04/04/1986
Arianespace,France,"Ariane 3 | GStar-2, Brasilsat-A2",Success,28/03/1986
RVSN USSR,Kazakhstan,Soyuz U | Zenit-8 n°613,Failure,26/03/1986
RVSN USSR,Kazakhstan,Tsyklon-2 | Cosmos 1737,Partial Failure,25/03/1986
RVSN USSR,Kazakhstan,Tsyklon-2 | Cosmos 1736,Success,21/03/1986
RVSN USSR,Kazakhstan,Soyuz U2 | Progress 25,Success,19/03/1986
RVSN USSR,Kazakhstan,Soyuz U2 | Soyuz T-15,Success,13/03/1986
RVSN USSR,Kazakhstan,Tsyklon-2 | Cosmos 1735,Success,27/02/1986
RVSN USSR,Russia,Soyuz U | Cosmos 1734,Success,26/02/1986
Arianespace,France,Ariane 1 | SPOT-1 & Viking,Success,22/02/1986
RVSN USSR,Russia,Tsyklon-3 | Cosmos 1733,Success,19/02/1986
RVSN USSR,Kazakhstan,Proton-K | Mir,Success,19/02/1986
MHI,Japan,N-II Star-37E | Yuri 2b,Success,12/02/1986
RVSN USSR,Russia,Tsyklon-3 | Cosmos 1732,Success,11/02/1986
General Dynamics,USA,Atlas-H MSD | MSD 8 & Parcae 8A to 8C (USA-15 to 18),Success,09/02/1986
RVSN USSR,Kazakhstan,Soyuz U | Cosmos 1731,Success,07/02/1986
RVSN USSR,Russia,Soyuz U | Cosmos 1730,Success,04/02/1986
RVSN USSR,Russia,Molniya-M /Block 2BL | Cosmos 1729,Success,01/02/1986
CASC,China,Long March 3 | DFH-2A 01,Success,01/02/1986
NASA,USA,Space Shuttle Challenger | STS-51-L,Failure,28/01/1986
RVSN USSR,Kazakhstan,Soyuz U | Cosmos 1728,Success,28/01/1986
RVSN USSR,Russia,Cosmos-3M | Cosmos 1727,Success,23/01/1986
RVSN USSR,Kazakhstan,Proton-K/Block-DM | Raduga 18,Success,17/01/1986
RVSN USSR,Russia,Tsyklon-3 | Cosmos 1726,Success,17/01/1986
RVSN USSR,Russia,Cosmos-3M | Cosmos 1725,Success,16/01/1986
RVSN USSR,Russia,Soyuz U | Cosmos 1724,Success,15/01/1986
NASA,USA,Space Shuttle Columbia | STS-61-C,Success,12/01/1986
RVSN USSR,Russia,Cosmos-3M | Cosmos 1716 to 1723,Success,09/01/1986
RVSN USSR,Russia,Soyuz U | Cosmos 1715,Success,08/01/1986
RVSN USSR,Kazakhstan,Zenit-2 | Cosmos 1714,Partial Failure,28/12/1985
RVSN USSR,Russia,Soyuz U | Cosmos 1713,Success,27/12/1985
RVSN USSR,Russia,Tsyklon-3 | Meteor-2 n°13,Success,26/12/1985
RVSN USSR,Kazakhstan,"Proton K/Block-DM-2 | Cosmos 1710, 1711 & 1712",Success,24/12/1985
RVSN USSR,Russia,Molniya-M /Block ML | Molniya-3 n°121,Success,24/12/1985
RVSN USSR,Russia,Cosmos-3M | Cosmos 1709,Success,19/12/1985
RVSN USSR,Russia,Soyuz U | Cosmos 1708,Success,13/12/1985
US Air Force,USA,Scout G1 | ITV 1 & 2 (USA 13 & 14),Success,13/12/1985
RVSN USSR,Russia,Tsyklon-3 | Cosmos 1707,Success,12/12/1985
RVSN USSR,Russia,Soyuz U | Cosmos 1706,Success,11/12/1985
RVSN USSR,Russia,Soyuz U | Cosmos 1705,Success,03/12/1985
RVSN USSR,Russia,Cosmos-3M | Cosmos 1704,Success,28/11/1985
NASA,USA,Space Shuttle Atlantis | STS-61-B,Success,27/11/1985
RVSN USSR,Russia,Tsyklon-3 | Cosmos 1703,Success,22/11/1985
RVSN USSR,Kazakhstan,Proton-K/Block-DM | Raduga 17,Success,15/11/1985
RVSN USSR,Russia,Soyuz U | Cosmos 1702,Success,13/11/1985
RVSN USSR,Russia,Molniya-M /Block 2BL | Cosmos 1701,Success,09/11/1985
NASA,USA,Space Shuttle Challenger | STS-61-A,Success,30/10/1985
RVSN USSR,Russia,Molniya-M /Block ML | Molniya-1 n°120,Success,28/10/1985
RVSN USSR,Kazakhstan,Proton K/Block-DM-2 | Cosmos 1700,Success,25/10/1985
RVSN USSR,Russia,Soyuz U | Cosmos 1699,Success,25/10/1985
RVSN USSR,Russia,Tsyklon-3 | Meteor-3 n°01,Success,24/10/1985
RVSN USSR,Russia,Cosmos-3M | Parouss n°50,Failure,23/10/1985
RVSN USSR,Kazakhstan,Molniya-M /Block ML | Molniya-1 n°119,Success,23/10/1985
RVSN USSR,Russia,Molniya-M /Block 2BL | Cosmos 1698,Success,22/10/1985
RVSN USSR,Kazakhstan,Zenit-2 | Cosmos 1697,Success,22/10/1985
CASC,China,Long March 2C | FSW-0 7,Success,21/10/1985
RVSN USSR,Kazakhstan,Soyuz U | Cosmos 1696,Success,16/10/1985
RVSN USSR,Russia,Tsyklon-3 | Cosmos 1690 to 1695,Success,09/10/1985
General Dynamics,USA,Atlas-E/F SGS-2 | GPS-11 (USA-10),Success,09/10/1985
NASA,USA,Space Shuttle Atlantis | STS-51-J,Success,03/10/1985
RVSN USSR,Russia,Molniya-M /Block ML | Molniya-3 n°118,Success,03/10/1985
RVSN USSR,Kazakhstan,Vostok-2M | Cosmos 1689,Success,03/10/1985
RVSN USSR,Russia,Cosmos-3M | Cosmos 1688,Success,02/10/1985
RVSN USSR,Russia,Molniya-M /Block 2BL | Cosmos 1687,Success,30/09/1985
General Dynamics,USA,Atlas-G Centaur-D1AR | Intelsat 512,Success,28/09/1985
RVSN USSR,Kazakhstan,Proton-K | Cosmos 1686 (TKS),Success,27/09/1985
RVSN USSR,Russia,Soyuz U | Cosmos 1685,Success,26/09/1985
RVSN USSR,Russia,Molniya-M /Block 2BL | Cosmos 1684,Success,24/09/1985
RVSN USSR,Russia,Soyuz U | Cosmos 1683,Success,19/09/1985
RVSN USSR,Kazakhstan,Tsyklon-2 | Cosmos 1682,Success,19/09/1985
RVSN USSR,Kazakhstan,Soyuz U2 | Soyuz T-14,Success,17/09/1985
Arianespace,France,"Ariane 3 | ECS 3, Spacenet 3",Failure,12/09/1985
RVSN USSR,Russia,Soyuz U | Cosmos 1681,Success,06/09/1985
RVSN USSR,Russia,Cosmos-3M | Cosmos 1680,Success,04/09/1985
RVSN USSR,Kazakhstan,Soyuz U | Cosmos 1679,Success,29/08/1985
RVSN USSR,Russia,Soyuz U | Cosmos 1678,Success,29/08/1985
Martin Marietta,USA,Titan 34D | KH-11 7,Failure,28/08/1985
NASA,USA,Space Shuttle Discovery | STS-51-I,Success,27/08/1985
RVSN USSR,Kazakhstan,Tsyklon-2 | Cosmos 1677,Success,23/08/1985
RVSN USSR,Russia,Molniya-M /Block ML | Molniya-1 n°117,Success,22/08/1985
ISAS,Japan,Mu-III S2 | Suisei,Success,18/08/1985
RVSN USSR,Russia,Soyuz U | Cosmos 1676,Success,16/08/1985
RVSN USSR,Russia,Molniya-M /Block 2BL | Cosmos 1675,Success,12/08/1985
RVSN USSR,Kazakhstan,Proton-K/Block-DM | Raduga 16,Success,08/08/1985
RVSN USSR,Russia,Tsyklon-3 | Cosmos 1674,Success,08/08/1985
RVSN USSR,Kazakhstan,Soyuz U | Cosmos 1673,Success,08/08/1985
RVSN USSR,Russia,Soyuz U | Cosmos 1672,Success,07/08/1985
US Air Force,USA,Scout G1 | Transit-O 24 & 30,Success,03/08/1985
RVSN USSR,Russia,Soyuz U | Cosmos 1671,Success,02/08/1985
RVSN USSR,Kazakhstan,Tsyklon-2 | Cosmos 1670,Success,01/08/1985
NASA,USA,Space Shuttle Challenger | STS-51-F,Success,29/07/1985
RVSN USSR,Kazakhstan,Soyuz U | Cosmos 1669,Success,19/07/1985
RVSN USSR,Russia,Molniya-M /Block ML | Molniya-3 n°116,Success,17/07/1985
RVSN USSR,Kazakhstan,Soyuz U | Cosmos 1668,Success,15/07/1985
RVSN USSR,Russia,Soyuz U | Cosmos 1667,Success,10/07/1985
RVSN USSR,Russia,Tsyklon-3 | Cosmos 1666,Success,08/07/1985
RVSN USSR,Russia,Soyuz U | Cosmos 1665,Success,03/07/1985
Arianespace,France,Ariane 1 | Giotto,Success,02/07/1985
General Dynamics,USA,Atlas-G Centaur-D1AR | Intelsat 511,Success,30/06/1985
RVSN USSR,Russia,Soyuz U | Cosmos 1664,Success,26/06/1985
RVSN USSR,Kazakhstan,Zenit-2 | EPN 03.0694 n°2,Failure,21/06/1985
RVSN USSR,Russia,Soyuz U | Cosmos 1663,Success,21/06/1985
RVSN USSR,Kazakhstan,Soyuz U | Progress 24,Success,21/06/1985
RVSN USSR,Russia,Cosmos-3M | Cosmos 1662,Success,19/06/1985
RVSN USSR,Russia,Molniya-M /Block 2BL | Cosmos 1661,Success,18/06/1985
NASA,USA,Space Shuttle Discovery | STS-51-G,Success,17/06/1985
RVSN USSR,Russia,Tsyklon-3 | Cosmos 1660,Success,14/06/1985
RVSN USSR,Russia,Soyuz U | Cosmos 1659,Success,13/06/1985
RVSN USSR,Russia,Molniya-M /Block 2BL | Cosmos 1658,Success,11/06/1985
RVSN USSR,Russia,Soyuz U | Cosmos 1657,Success,07/06/1985
RVSN USSR,Kazakhstan,Soyuz U2 | Soyuz T-13,Success,06/06/1985
RVSN USSR,Kazakhstan,Proton K/Block-DM-2 | Cosmos 1656,Success,30/05/1985
RVSN USSR,Russia,Cosmos-3M | Cosmos 1655,Success,30/05/1985
RVSN USSR,Russia,Molniya-M /Block ML | Molniya-3 n°115,Success,29/05/1985
RVSN USSR,Kazakhstan,Soyuz U | Cosmos 1654,Success,23/05/1985
RVSN USSR,Russia,Soyuz U | Cosmos 1653,Success,22/05/1985
RVSN USSR,Kazakhstan,"Proton K/Block-DM-2 | Cosmos 1650, 1651 & 1652",Success,17/05/1985
RVSN USSR,Russia,Soyuz U | Cosmos 1649,Success,15/05/1985
Arianespace,France,"Ariane 3 | GStar-1, Télécom 1B",Success,08/05/1985
NASA,USA,Space Shuttle Challenger | STS-51-B,Success,29/04/1985
RVSN USSR,Kazakhstan,Molniya-M /Block SO-L | Prognoz n°10,Success,26/04/1985
RVSN USSR,Russia,Soyuz U | Cosmos 1648,Success,25/04/1985
RVSN USSR,Russia,Soyuz U | Cosmos 1647,Success,19/04/1985
RVSN USSR,Kazakhstan,Tsyklon-2 | Cosmos 1646,Success,18/04/1985
RVSN USSR,Russia,K65M-RB5 | BOR-5 n°502,Success,17/04/1985
RVSN USSR,Russia,Soyuz U | Cosmos 1645,Success,16/04/1985
RVSN USSR,Kazakhstan,Zenit-2 | EPN 03.0694 n°1,Failure,13/04/1985
NASA,USA,Space Shuttle Discovery | STS-51-D,Success,12/04/1985
RVSN USSR,Kazakhstan,Soyuz U | Cosmos 1644,Success,03/04/1985
RVSN USSR,Kazakhstan,Soyuz U | Cosmos 1643,Success,25/03/1985
General Dynamics,USA,Atlas-G Centaur-D1AR | Intelsat 510,Success,22/03/1985
RVSN USSR,Kazakhstan,Proton-K/Block-DM | Ekran 14,Success,22/03/1985
RVSN USSR,Russia,Cosmos-3M | Cosmos 1635 to 1642,Success,21/03/1985
RVSN USSR,Russia,Cosmos-3M | Cosmos 1634,Success,14/03/1985
General Dynamics,USA,Atlas-E/F OIS | Geosat,Success,13/03/1985
RVSN USSR,Russia,Tsyklon-3 | Cosmos 1633,Success,05/03/1985
RVSN USSR,Russia,Soyuz U | Cosmos 1632,Success,01/03/1985
RVSN USSR,Russia,Cosmos-3M | Cosmos 1631,Success,27/02/1985
